Player,Position,Base,Team,Sex,League
Novak Djokovic,Singles,8541010.41,-,M,ATP
Roger Federer,Singles,6497334.15,-,M,ATP
Rafael Nadal,Singles,6145260.7,-,M,ATP
Andy Murray,Singles,20597789.33,-,M,ATP
Pete Sampras,Singles,3091463.5,-,M,ATP
Stan Wawrinka,Singles,11513413,-,M,ATP
Andre Agassi,Singles,3894121.88,-,M,ATP
Marin Cilic,Singles,28210692,-,M,ATP
Dominic Thiem,Singles,27302125,-,M,ATP
Juan Martin del Potro,Singles,25889586,-,M,ATP
Boris Becker,Singles,4180159.33,-,M,ATP
Yevgeny Kafelnikov,Singles,11941898.5,-,M,ATP
Ivan Lendl,Singles,2657802.13,-,M,ATP
Lleyton Hewitt,Singles,10444982.5,-,M,ATP
Andy Roddick,Singles,20640030,-,M,ATP
Stefan Edberg,Singles,3435573.5,-,M,ATP
Goran Ivanisevic,Singles,19878007,-,M,ATP
Michael Chang,Singles,19145632,-,M,ATP
Gustavo Kuerten,Singles,4935666.67,-,M,ATP
Marat Safin,Singles,7186645.5,-,M,ATP
Jim Courier,Singles,3508533,-,M,ATP
Juan Carlos Ferrero,Singles,13998165,-,M,ATP
Carlos Moya,Singles,13443970,-,M,ATP
Michael Stich,Singles,12595128,-,M,ATP
John McEnroe,Singles,1793161.71,-,M,ATP
Thomas Muster,Singles,12266977,-,M,ATP
Sergi Bruguera,Singles,5816099.5,-,M,ATP
Patrick Rafter,Singles,5566564,-,M,ATP
Petr Korda,Singles,10448900,-,M,ATP
Richard Krajicek,Singles,10077425,-,M,ATP
Jimmy Connors,Singles,1080130,-,M,ATP
Brittney Griner  PHX,C,215000,PHX,F,WNBA
Astou Ndour  DAL,C,185000,DAL,F,WNBA
Stefanie Dolson  CHI,C,180250,CHI,F,WNBA
Tina Charles  WAS,C,175000,WAS,F,WNBA
Elizabeth Williams  ATL,C,117000,ATL,F,WNBA
Sylvia Fowles  MIN,C,115627,MIN,F,WNBA
Amanda Zahui B  NY,C,110000, NY,F,WNBA
Natalie Achonwa  IND,C,107000,IND,F,WNBA
Kiah Stokes  NY,C,91000, NY,F,WNBA
Kayla Alexander  MIN,C,68000,MIN,F,WNBA
Brionna Jones  CON,C,68000,CON,F,WNBA
Imani McGee-Stafford  DAL,C,68000,DAL,F,WNBA
Brittany Brewer  ATL,C,59750,ATL,F,WNBA
Luisa Geiselsoder  DAL,C,59750,DAL,F,WNBA
Alaina Coates  WAS,C,57000,WAS,F,WNBA
Bernadett Határ  IND,C,57000,IND,F,WNBA
Teaira McCowan  IND,C,57000,IND,F,WNBA
JiSu Park  LV,C,57000,LV,F,WNBA
A'ja Wilson  LV,C,57000,LV,F,WNBA
Kalani Brown  ATL,C,57000,ATL,F,WNBA
Kristine Anigwe  LA,C,57000,LA,F,WNBA
Marie Gülich  LA,C,57000,LA,F,WNBA
Han Xu  NY,C,57000,NY,F,WNBA
Ezi Magbegor  SEA,C,57000,SEA,F,WNBA
Mercedes Russell  SEA,C,57000,SEA,F,WNBA
DeWanna Bonner  CON,F,215000,CON,F,WNBA
Elena Delle Donne  WAS,F,215000,WAS,F,WNBA
Emma Meesseman  WAS,F,215000,WAS,F,WNBA
Angel McCoughtry  LV,F,185000,LV,F,WNBA
Jonquel Jones  CON,F,185000,CON,F,WNBA
Breanna Stewart  SEA,F,185000,SEA,F,WNBA
Shekinna Stricklen  ATL,F,170000,ATL,F,WNBA
Glory Johnson  ATL,F,165000,ATL,F,WNBA
Isabelle Harrison  DAL,F,150000,DAL,F,WNBA
Chiney Ogwumike  LA,F,119500,LA,F,WNBA
Candace Parker  LA,F,119500,LA,F,WNBA
Candice Dupree  IND,F,119500,IND,F,WNBA
Dearica Hamby  LV,F,117000,LV,F,WNBA
Nneka Ogwumike  LA,F,117000,LA,F,WNBA
Jantel Lavender  CHI,F,117000,CHI,F,WNBA
Alyssa Thomas  CON,F,117000,CON,F,WNBA
Maya Moore  MIN,F,117000,MIN,F,WNBA
Jessica Breland  PHX,F,117000,PHX,F,WNBA
Natasha Howard  SEA,F,117000,SEA,F,WNBA
LaToya Sanders  WAS,F,117000,WAS,F,WNBA
Morgan Tuck  SEA,F,115000,SEA,F,WNBA
Cheyenne Parker  CHI,F,110000,CHI,F,WNBA
Damiris Dantas  MIN,F,105000,MIN,F,WNBA
Crystal Langhorne  SEA,F,105000,SEA,F,WNBA
Karima Christmas-Kelly  MIN,F,104000,MIN,F,WNBA
Theresa Plaisance  CON,F,104000,CON,F,WNBA
Kayla Thornton  DAL,F,87700,DAL,F,WNBA
Alysha Clark  SEA,F,85800,SEA,F,WNBA
Aerial Powers  WAS,F,80000,WAS,F,WNBA
Kaleena Mosqueda-Lewis  CON,F,71400,CON,F,WNBA
Tianna Hawkins  WAS,F,71400,WAS,F,WNBA
Erica McCall  MIN,F,68000,MIN,F,WNBA
Nia Coffey  PHX,F,68000,PHX,F,WNBA
Satou Sabally  DAL,F,68000,DAL,F,WNBA
Lauren Cox  IND,F,68000,IND,F,WNBA
Ruthy Hebard  CHI,F,65250,CHI,F,WNBA
Mikiah Herbert Harrigan  MIN,F,65250,MIN,F,WNBA
Megan Walker  NY,F,62500,NY,F,WNBA
Jocelyn Willoughby  NY,F,62500,NY,F,WNBA
Megan Gustafson  DAL,F,62000,DAL,F,WNBA
Jaylyn Agnew  ATL,F,59750,ATL,F,WNBA
Leonie Fiebich  LA,F,59750,LA,F,WNBA
Beatrice Mompremier  CON,F,59750,CON,F,WNBA
Joyner Holmes  NY,F,59750,NY,F,WNBA
Leaonna Odom  NY,F,59750,NY,F,WNBA
Kylee Shook  NY,F,59750,NY,F,WNBA
Gabby Williams  CHI,F,58978,CHI,F,WNBA
Myisha Hines-Allen  WAS,F,57000,WAS,F,WNBA
Stephanie Mavunga  IND,F,57000,IND,F,WNBA
Monique Billings  ATL,F,57000,ATL,F,WNBA
Kaela Davis  ATL,F,57000,ATL,F,WNBA
Kobi Thornton  ATL,F,57000,ATL,F,WNBA
Reshanda Gray  LA,F,57000,LA,F,WNBA
Maria Vadeeva  LA,F,57000,LA,F,WNBA
Maria Conde  CHI,F,57000,CHI,F,WNBA
Kiah Gillespie  CHI,F,57000,CHI,F,WNBA
Azurá Stevens  CHI,F,57000,CHI,F,WNBA
Napheesa Collier  MIN,F,57000,MIN,F,WNBA
Jessica Shepard  MIN,F,57000,MIN,F,WNBA
Alanna Smith  PHX,F,57000,PHX,F,WNBA
Brianna Turner  PHX,F,57000,PHX,F,WNBA
DustinJohnsonUSA,-,398051.43,USA,M,PGA
JustinThomasUSA,-,363929.6,USA,M,PGA
BrooksKoepkaUSA,-,332692.65,USA,M,PGA
JustinRoseENG,-,307513.92,ENG,M,PGA
TigerWoodsUSA,-,288755.98,USA,M,PGA
RoryMcIlroyNIR,-,279100.89,NIR,M,PGA
JonRahmESP,-,255699.32,ESP,M,PGA
BrysonDeChambeauUSA,-,216452.55,USA,M,PGA
CollinMorikawaUSA,-,212295.7,USA,M,PGA
WebbSimpsonUSA,-,206528.64,USA,M,PGA
RickieFowlerUSA,-,204703.05,USA,M,PGA
FrancescoMolinariITA,-,203151.43,ITA,M,PGA
PatrickCantlayUSA,-,198015,USA,M,PGA
HidekiMatsuyamaJPN,-,192189.69,JPN,M,PGA
JasonDayAUS,-,180964.09,AUS,M,PGA
XanderSchauffeleUSA,-,180420.18,USA,M,PGA
MarcLeishmanAUS,-,178992.65,AUS,M,PGA
TommyFleetwoodENG,-,177428.74,ENG,M,PGA
PaulCaseyENG,-,171450.57,ENG,M,PGA
JordanSpiethUSA,-,167728.83,USA,M,PGA
PatrickReedUSA,-,165964.67,USA,M,PGA
TonyFinauUSA,-,163019.63,USA,M,PGA
BubbaWatsonUSA,-,146183.14,USA,M,PGA
AdamScottAUS,-,145667.45,AUS,M,PGA
HenrikStensonSWE,-,144525.76,SWE,M,PGA
PhilMickelsonUSA,-,143651.91,USA,M,PGA
GaryWoodlandUSA,-,141191.2,USA,M,PGA
MattKucharUSA,-,138687.13,USA,M,PGA
KevinKisnerUSA,-,132801.63,USA,M,PGA
TyrrellHattonENG,-,130612.78,ENG,M,PGA
MatthewWolffUSA,-,124647.62,USA,M,PGA
EddiePepperellENG,-,124509.21,ENG,M,PGA
LouisOosthuizenRSA,-,124044.39,RSA,M,PGA
CameronSmithAUS,-,122241.89,AUS,M,PGA
BillyHorschelUSA,-,122046.34,USA,M,PGA
KevinNaUSA,-,118107.58,USA,M,PGA
IanPoulterENG,-,117844.9,ENG,M,PGA
DanielBergerUSA,-,117385.88,USA,M,PGA
PatPerezUSA,-,111719.17,USA,M,PGA
SungjaeImKOR,-,111623.18,KOR,M,PGA
SergioGarciaESP,-,104474.95,ESP,M,PGA
KyleStanleyUSA,-,101921.2,USA,M,PGA
AlexNorenSWE,-,100435.4,SWE,M,PGA
RafaCabreraBelloESP,-,100084.31,ESP,M,PGA
KeeganBradleyUSA,-,100052.14,USA,M,PGA
BrandtSnedekerUSA,-,97624.37,USA,M,PGA
BrianHarmanUSA,-,96860.74,USA,M,PGA
ByeongHunAnKOR,-,93935.11,KOR,M,PGA
AdamHadwinCAN,-,93023.6,CAN,M,PGA
RyanPalmerUSA,-,89804.73,USA,M,PGA
ChezReavieUSA,-,89581.5,USA,M,PGA
CharlesHowellIIIUSA,-,89580.23,USA,M,PGA
ScottieSchefflerUSA,-,88925.56,USA,M,PGA
ViktorHovlandNOR,-,88677,NOR,M,PGA
BrendanSteeleUSA,-,87780.37,USA,M,PGA
JoaquinNiemannCHI,-,85678.09,CHI,M,PGA
AbrahamAncerMEX,-,82973.53,MEX,M,PGA
AaronWiseUSA,-,82603.66,USA,M,PGA
AndrewPutnamUSA,-,80774.12,USA,M,PGA
RyanMooreUSA,-,80390.52,USA,M,PGA
ShaneLowryIRL,-,80205.3,IRL,M,PGA
CharlSchwartzelRSA,-,78157.82,RSA,M,PGA
AndrewLandryUSA,-,76820.38,USA,M,PGA
KevinChappellUSA,-,76402.48,USA,M,PGA
EmilianoGrilloARG,-,75661.1,ARG,M,PGA
CharleyHoffmanUSA,-,74912.1,USA,M,PGA
ThomasPietersBEL,-,74644.18,BEL,M,PGA
RussellHenleyUSA,-,74372.06,USA,M,PGA
AdamLongUSA,-,73748.46,USA,M,PGA
PattonKizzireUSA,-,73390.78,USA,M,PGA
ScottPiercyUSA,-,73264.21,USA,M,PGA
MatthewFitzpatrickENG,-,73044.43,ENG,M,PGA
SiWooKimKOR,-,72912.91,KOR,M,PGA
MattWallaceENG,-,71707.59,ENG,M,PGA
DocRedmanUSA,-,71094.63,USA,M,PGA
LukeListUSA,-,70357.94,USA,M,PGA
ZachJohnsonUSA,-,69628.41,USA,M,PGA
J.B.HolmesUSA,-,68587.09,USA,M,PGA
CameronChampUSA,-,67974.9,USA,M,PGA
JasonDufnerUSA,-,67310.69,USA,M,PGA
AndyZhangCHN,-,67125,CHN,M,PGA
OscarFraustroMEX,-,66702,MEX,M,PGA
TomLewisENG,-,66683.81,ENG,M,PGA
ChessonHadleyUSA,-,66466.89,USA,M,PGA
WillGordonUSA,-,66203.25,USA,M,PGA
JasonKokrakUSA,-,66056.82,USA,M,PGA
KevinStreelmanUSA,-,65661.53,USA,M,PGA
BrandenGraceRSA,-,64907.02,RSA,M,PGA
JohnOdaUSA,-,64520,USA,M,PGA
BrendonToddUSA,-,64170.68,USA,M,PGA
KeithMitchellUSA,-,63393.95,USA,M,PGA
SungKangKOR,-,63248.93,KOR,M,PGA
LucasGloverUSA,-,63090.88,USA,M,PGA
SebastiánMuñozCOL,-,60411.75,COL,M,PGA
AustinCookUSA,-,60019.42,USA,M,PGA
JoelDahmenUSA,-,59914.07,USA,M,PGA
JhonattanVegasVEN,-,59459.72,VEN,M,PGA
GrahamDeLaetCAN,-,59396.81,CAN,M,PGA
JimFurykUSA,-,58201.28,USA,M,PGA
C.T.PanTPE,-,58072.32,TPE,M,PGA
StewartCinkUSA,-,57518.55,USA,M,PGA
JimmyWalkerUSA,-,57043.74,USA,M,PGA
MaxHomaUSA,-,56105.87,USA,M,PGA
